(0.526923,-0.133245)
(-0.0169543,0.509296)
(0.30746,0.207073)
(0.0592921,0.422386)
(-1,1.22465e-16)
(-0.809017,0.587785)
(0.900969,0.433884)
(-0.0825793,-0.996584)
(-0.5,-0.866025)
(-0.809017,-0.587785)
(-0.809017,-0.587785)
(-0.5,-0.866025)
(-0.809017,0.587785)
(-0.5,-0.866025)
(-0.809017,-0.587785)
(-0.809017,-0.587785)
(-0.5,-0.866025)
(0.521855,-0.17561)
(0.489954,-0.273522)
(0.408556,-0.401465)
(0.281985,-0.529451)
(0.091834,-0.59625)
(-0.121085,-0.591335)
(-0.336816,-0.498678)
(-0.496494,-0.293441)
(-0.57064,-0.0379758)
(-0.550905,0.213989)
(-0.425093,0.410185)
(-0.231366,0.509029)
(0.184348,0.418436)
(0.343518,0.262689)
(0.426695,0.0795791)
(0.470538,-0.0702542)
(0.473504,-0.166219)
(0.474239,-0.196237)
(0.472954,-0.169155)
(0.466296,-0.105509)
(0.433666,-0.014246)
(0.407179,0.0746624)
(0.362127,0.149195)
(0.324456,0.194525)
(0.329142,0.187471)
(0.367826,0.131927)
(0.40696,0.0451188)
(0.43962,-0.0531663)
(0.446081,-0.15104)
(0.450784,-0.222824)
(0.436733,-0.244719)
(0.437844,-0.20659)
(0.447252,-0.104992)
(0.44558,0.0506876)
(0.380823,0.219727)
(0.240805,0.346573)
(-0.142193,0.38986)
(-0.315291,0.269629)
(-0.421204,0.0834974)
(-0.435323,-0.131981)
(-0.368461,-0.340373)
(-0.232602,-0.504844)
(-0.0440883,-0.581212)
(0.142559,-0.564603)
(0.309291,-0.494802)
(0.419613,-0.374024)
(0.491664,-0.257455)
(0.53038,-0.167784)
(-0.983114,0.182993)
(-0.983114,0.182993)
(-0.374802,0.927105)
(-0.0294003,0.999568)
(-0.0649673,0.997887)
(0.429735,0.902955)
(0.812034,0.583611)
(0.997055,-0.0766929)
(0.824015,-0.566568)
(0.428556,-0.903515)
(-0.298515,-0.954405)
(-0.98506,-0.17221)
(-0.98506,-0.17221)
(-0.809017,-0.587785)
(0.052336,-0.99863)
(0.587785,-0.809017)
(0.93358,-0.358368)
(0.978148,0.207912)
(0.707107,0.707107)
(0.207912,0.978148)
(-0.358368,0.93358)
(0.148116,-0.483773)
(-0.0715347,-0.614083)
(0.350153,-0.42349)
(-0.265227,-0.656901)
(-0.0166242,-0.606535)
(-0.572513,-0.513326)
(-0.490052,-0.547886)
(0.547406,-0.0500796)
(0.574005,0.210128)
(0.0541363,-0.621193)
(0.0414196,0.618201)
(-0.576135,0.313849)
(-0.701367,0.217579)
(-0.340088,-0.609731)
(0.0324264,-0.586761)
(0.278508,-0.381835)
(0.268116,-0.382666)
(-0.777089,-0.0387338)
(0.468325,0.468694)
(0.325502,-0.439744)
(-0.555504,-0.612426)
(0.324343,-0.644332)
(-0.494976,-0.622956)
(0.0860677,-0.569415)
(-0.0452527,-0.632233)
(-0.00346494,-0.613214)
(0.361993,-0.168085)
(0.360587,-0.17088)
(-0.776148,-0.443095)
(-0.113748,0.690225)
(-0.58707,-0.364308)
(0.510601,-0.0197089)
(-0.0880677,-0.716078)
(-0.0477489,-0.588669)
(-0.0782019,-0.598334)
(0.633439,-0.364642)
(-0.514206,0.445299)
(0.222816,-0.530995)
(0.792067,0.0213433)
(-0.838701,-0.332516)
(-0.854256,0.00329251)
(0.567048,0.502608)
(0.141009,0.476045)
(-0.599454,0.588334)
(0.287666,-0.460298)
(-0.224156,0.730974)
(-0.400761,-0.490105)
(-0.561737,-0.18104)
(-0.318789,0.40317)
(0.335657,-0.339209)
(0.210926,-0.490263)
(0.312426,-0.387776)
(-0.523787,-0.569317)
(0.288714,-0.49607)
(-0.499374,-0.570379)
(-0.36141,-0.657692)
(0.322482,-0.422557)
(-0.869192,-0.247112)
(-0.529821,-0.591646)
(0.43336,0.281865)
(0.312619,0.711086)
(-0.286295,-0.689364)
(0.458608,-0.0770807)
(0.318605,-0.703107)
(0.648112,-0.508291)
(-0.170961,-0.627755)
(-0.0939307,-0.618089)
(-0.726202,0.336545)
(0.38862,0.281568)
(-0.00213738,-0.677108)
(0.80359,0.050747)
(0.3753,-0.323652)
(-0.421421,-0.627711)
(-0.15307,0.438141)
(-0.604186,-0.19844)
(-0.0619991,0.61813)
(-0.772289,-0.544352)
(0.279938,0.770374)
(-0.515098,0.0147567)
(0.249956,-0.45131)
(0.388883,-0.13679)
(0.464009,-0.105434)
(0.387415,-0.141648)
(0.383175,-0.00100047)
(-0.887779,-0.110646)
(-0.73045,-0.431289)
(-0.0181589,-0.629141)
(-0.309339,-0.556849)
(-0.0635908,-0.841249)
(0.272854,-0.362149)
(0.251824,-0.392924)
(-0.748307,-0.53053)
(-0.0772555,-0.593029)
(-0.0773981,-0.622288)
(-0.215148,-0.635098)
(-0.611942,0.0692818)
(-0.240144,-0.64228)
(0.105238,-0.535057)
(-0.313969,-0.634129)
(-0.678212,-0.614258)
(-0.0109851,-0.827262)
(0.335904,-0.406694)
(0.109938,0.56367)
(0.0812658,-0.556914)
(0.0874893,-0.693948)
(0.317492,-0.285281)
(-0.388236,-0.753861)
(0.689816,0.452262)
(0.237101,-0.53059)
(0.426921,-0.3932)
(-0.802438,0.363295)
(0.620606,0.171054)
(0.278855,-0.434607)
(0.389514,-0.183239)
(0.386727,-0.230928)
(0.423734,-0.202776)
(-0.726153,-0.30357)
(0.268579,-0.503194)
(-0.409561,0.495727)
(0.899734,0.215525)
(-0.419223,0.70027)
(-0.409102,-0.418946)
(-0.666913,-0.358967)
(0.488062,-0.359683)
(-0.267893,-0.618278)
(-0.919923,-0.250964)
(-0.0771469,-0.648891)
(-0.49952,0.673774)
(-0.044797,-0.640469)
(-0.68613,0.0269434)
(0.186787,-0.545853)
(0.393808,-0.395101)
(0.365485,-0.341342)
(-0.872834,0.200507)
(0.21189,-0.856609)
(0.143103,-0.575335)
(-0.344311,0.509471)
(0.405641,0.45293)
(-0.434018,-0.734981)
(-0.240812,0.734529)
(-0.273818,-0.612771)
(-0.0172954,-0.581312)
(0.604129,-0.0492549)
(0.14153,0.420504)
(-0.157116,-0.583177)
(0.40222,0.206694)
(-0.285786,-0.624211)
(-0.207569,-0.674896)
(-0.755524,-0.0520527)
(-0.565926,-0.576718)
(-0.42818,-0.445903)
(-0.741121,-0.462414)
(-0.340024,-0.618456)
(-0.586182,-0.639443)
(0.737628,-0.451039)
(-0.203704,-0.934694)
(0.38078,0.00475964)
(0.414467,0.160894)
(0.378537,0.0182477)
(0.871855,-0.194239)
(0.101776,-0.520678)
(-0.27486,-0.645013)
(-0.691016,-0.469531)
(0.347068,-0.343957)
(0.145675,0.809115)
(0.349765,-0.337141)
(-0.0748767,0.422922)
(0.197364,-0.506267)
(-0.964702,-0.134912)
(-0.355032,0.864681)
(-0.331551,0.515797)
(-0.212658,-0.652516)
(0.0952252,-0.602028)
(-0.750493,-0.453326)
(-0.709057,-0.472022)
(-0.60793,0.708686)
(0.131887,-0.587507)
(-0.609207,-0.266418)
(-0.959442,-0.0954088)
(0.346811,0.384269)
(0.127547,-0.501345)
(-0.444184,0.14622)
(-0.54469,0.25026)
(0.544404,-0.357949)
(0.035924,-0.572663)
(0.239859,0.458481)
(0.750911,0.47926)
(-0.939002,0.0379616)
(-0.100667,-0.611128)
(0.150457,-0.521336)
(0.38489,-0.398265)
(0.661653,-0.14261)
(0.213588,0.608876)
(-0.338827,0.284447)
(0.537607,0.717484)
(-0.500171,-0.498375)
(-0.378658,-0.546855)
(-0.121246,0.881082)
(-0.717561,-0.408312)
(0.208383,-0.636698)
(-0.59639,0.391786)
(0.505282,-0.696142)
(-0.175342,-0.695513)
(-0.456298,0.288397)
