290	
	(0.5269224066,-0.1332434061)	(-0.01694791335,0.5092883241)	(0.3074545311,0.2070688868)	(0.0592857927,0.4223816526)	(-1,1.224646799e-16)
	(-0.8090169944,0.5877852523)	(0.9009688679,0.4338837391)	(-0.08257934547,-0.996584493)	(-0.5,-0.8660254038)	(-0.8090169944,-0.5877852523)
	(-0.8090169944,-0.5877852523)	(-0.5,-0.8660254038)	(-0.8090169944,0.5877852523)	(-0.5,-0.8660254038)	(-0.8090169944,-0.5877852523)
	(-0.8090169944,-0.5877852523)	(-0.5,-0.8660254038)	(0.5218545048,-0.1756079741)	(0.4899548011,-0.2735200535)	(0.4085583529,-0.4014623926)
	(0.2819876645,-0.5294492393)	(0.09183751507,-0.5962489069)	(-0.1210816416,-0.5913348806)	(-0.3368121461,-0.4986787314)	(-0.4964912445,-0.2934432829)
	(-0.5706368003,-0.0379792254)	(-0.5509015786,0.2139843855)	(-0.4250890714,0.4101794511)	(-0.2313604558,0.5090216621)	(0.184355767,0.4184270144)
	(0.3435264987,0.2626800321)	(0.4267036399,0.07957091462)	(0.4705451415,-0.070261241)	(0.4735094768,-0.1662250791)	(0.4742424878,-0.1962422554)
	(0.472954547,-0.1691591229)	(0.4662931055,-0.1055132765)	(0.4336609875,-0.0142507064)	(0.407173233,0.07465664485)	(0.3621205151,0.1491896194)
	(0.3244497661,0.1945198576)	(0.3291361629,0.1874682351)	(0.3678201035,0.1319271858)	(0.4069552837,0.04512249367)	(0.43961613,-0.05315973222)
	(0.4460782861,-0.1510320506)	(0.4507822898,-0.2228152516)	(0.4367318702,-0.2447106172)	(0.4378423199,-0.2065829385)	(0.4472498076,-0.1049864968)
	(0.4455767897,0.05069037522)	(0.380818849,0.2197266464)	(0.2407994804,0.3465710108)	(-0.142200368,0.3898540201)	(-0.3152986977,0.269622603)
	(-0.4212117563,0.08349059792)	(-0.4353290647,-0.1319873841)	(-0.3684639704,-0.3403790802)	(-0.2326025874,-0.5048493196)	(-0.04408608737,-0.5812164611)
	(0.1425631009,-0.5646053162)	(0.309295553,-0.4948020803)	(0.4196166128,-0.3740229991)	(0.4916659052,-0.2574543326)	(0.5303807433,-0.1677820745)
	(-0.9831141728,0.1829932329)	(-0.9831141732,0.1829932307)	(-0.3748021559,0.9271048182)	(-0.02940028859,0.9995677181)	(-0.06496730567,0.997887393)
	(0.4297348231,0.9029551383)	(0.8120335867,0.5836107042)	(0.9970547654,-0.0766928599)	(0.8240146803,-0.5665684483)	(0.4285557591,-0.9035153354)
	(-0.2985148115,-0.9544050017)	(-0.9850602544,-0.1722100325)	(-0.985060254,-0.1722100348)	(-0.8090169944,-0.5877852523)	(0.05233595624,-0.9986295348)
	(0.5877852523,-0.8090169944)	(0.9335804265,-0.3583679495)	(0.9781476007,0.2079116908)	(0.7071067812,0.7071067812)	(0.2079116908,0.9781476007)
	(-0.3583679495,0.9335804265)	(0.1481135627,-0.483768605)	(-0.0715292454,-0.614076377)	(0.3501529406,-0.4234855252)	(-0.265225019,-0.6569020047)
	(-0.01662634074,-0.6065351346)	(-0.5725107936,-0.5133277012)	(-0.4900502483,-0.5478889904)	(0.5474067433,-0.05009058765)	(0.5739994894,0.2101292674)
	(0.05413660983,-0.6211982365)	(0.04141122924,0.6182012444)	(-0.5761421361,0.3138480424)	(-0.7013663165,0.2175764069)	(-0.3400862924,-0.6097265833)
	(0.03243060549,-0.5867537202)	(0.2785018425,-0.3818338562)	(0.2681155128,-0.3826585367)	(-0.7770915608,-0.03873597415)	(0.4683248306,0.4686848124)
	(0.3255034711,-0.4397539945)	(-0.5555001857,-0.6124226026)	(0.3243420761,-0.6443377271)	(-0.4949765557,-0.6229558408)	(0.08607004838,-0.5694092618)
	(-0.04524982324,-0.6322331148)	(-0.003461390844,-0.6132162964)	(0.3619860028,-0.1680842296)	(0.3605817721,-0.1708774616)	(-0.7761461909,-0.4430972592)
	(-0.1137483256,0.6902191062)	(-0.5870671118,-0.3643100513)	(0.5105968597,-0.01970678792)	(-0.08806635369,-0.7160756379)	(-0.04774565895,-0.5886631616)
	(-0.0782034033,-0.5983310896)	(0.6334366473,-0.36463965)	(-0.5142053437,0.4452955643)	(0.2228179005,-0.5309937092)	(0.7920659754,0.02133738671)
	(-0.8387004674,-0.3325184085)	(-0.8542547256,0.003290570837)	(0.567042726,0.5026087763)	(0.1410001442,0.476044705)	(-0.5994543746,0.5883318947)
	(0.2876658392,-0.4603025469)	(-0.224161675,0.7309746953)	(-0.400760536,-0.4901092505)	(-0.5617419079,-0.1810436036)	(-0.3187988494,0.4031685481)
	(0.3356574347,-0.3392009323)	(0.2109298656,-0.4902542577)	(0.3124218954,-0.3877781273)	(-0.5237835878,-0.5693132816)	(0.2887164688,-0.4960693503)
	(-0.4993735999,-0.5703771838)	(-0.3614056857,-0.6576869615)	(0.3224847696,-0.4225649892)	(-0.8691911746,-0.2471137984)	(-0.529819494,-0.5916486358)
	(0.4333621772,0.2818531175)	(0.3126179498,0.7110800788)	(-0.2862956918,-0.6893659238)	(0.4586114639,-0.07709215719)	(0.3186046203,-0.7031045874)
